score_pct,time_taken_sec,easy_correct,medium_correct,hard_correct,attempt_number,label
37.45,874,0,4,3,5,Beginner
95.07,71,0,4,2,5,Advanced
73.2,377,2,4,1,2,Intermediate
59.87,651,2,1,0,2,Beginner
15.6,275,0,3,0,3,Beginner
15.6,398,2,3,2,1,Beginner
5.81,835,3,1,0,5,Beginner
86.62,720,1,2,3,3,Intermediate
60.11,140,1,2,3,4,Intermediate
70.81,786,1,4,2,4,Intermediate
2.06,544,0,0,0,3,Beginner
96.99,433,2,2,0,5,Intermediate
83.24,769,3,0,2,3,Intermediate
21.23,259,3,3,1,5,Beginner
18.18,596,0,0,0,2,Beginner
18.34,525,3,3,1,3,Beginner
30.42,148,3,1,0,5,Beginner
52.48,327,3,1,0,3,Beginner
43.19,714,3,4,0,3,Beginner
29.12,630,2,2,0,5,Beginner
61.19,548,3,4,3,5,Intermediate
13.95,597,1,3,1,1,Beginner
29.21,106,0,4,1,3,Beginner
36.64,347,2,0,0,4,Beginner
45.61,837,3,3,0,3,Beginner
78.52,75,2,1,1,3,Intermediate
19.97,770,3,2,3,5,Beginner
51.42,460,1,3,2,3,Intermediate
59.24,853,0,3,2,3,Intermediate
4.65,145,3,0,1,4,Beginner
60.75,309,3,2,0,5,Intermediate
17.05,450,3,1,0,3,Beginner
6.51,841,3,3,3,2,Beginner
94.89,394,0,3,2,1,Advanced
96.56,688,0,0,3,4,Intermediate
80.84,578,1,4,2,3,Advanced
30.46,196,0,1,1,2,Beginner
9.77,747,3,2,2,3,Beginner
68.42,899,1,3,3,3,Intermediate
44.02,557,1,3,3,5,Beginner
12.2,886,1,1,3,5,Beginner
49.52,786,3,4,1,5,Beginner
3.44,536,2,3,2,2,Beginner
90.93,653,3,1,2,3,Intermediate
25.88,282,0,0,3,1,Beginner
66.25,431,0,4,2,4,Intermediate
31.17,461,3,2,0,5,Beginner
52.01,502,3,3,0,5,Beginner
54.67,549,1,1,0,3,Beginner
18.49,674,3,0,2,3,Beginner
96.96,332,1,2,1,2,Intermediate
77.51,585,0,1,1,2,Intermediate
93.95,218,1,1,1,5,Intermediate
89.48,211,3,2,1,3,Intermediate
59.79,679,0,0,0,1,Beginner
92.19,247,2,0,0,4,Intermediate
8.85,872,1,4,3,3,Beginner
19.6,157,0,3,2,3,Beginner
4.52,190,1,2,2,2,Beginner
32.53,864,0,2,1,4,Beginner
38.87,230,0,2,0,5,Beginner
27.13,242,1,0,1,3,Beginner
82.87,423,2,3,3,5,Advanced
35.68,98,0,4,2,3,Beginner
28.09,586,0,1,2,5,Beginner
54.27,556,0,1,1,4,Beginner
14.09,575,2,2,3,2,Beginner
80.22,408,2,3,2,4,Advanced
7.46,456,3,0,3,1,Beginner
98.69,781,1,3,3,2,Advanced
77.22,220,2,3,1,4,Intermediate
19.87,75,1,0,0,1,Beginner
0.55,552,3,2,1,3,Beginner
81.55,485,1,3,0,3,Intermediate
70.69,167,2,1,3,5,Intermediate
72.9,509,1,0,0,2,Intermediate
77.13,370,2,4,3,3,Intermediate
7.4,798,1,2,2,2,Beginner
35.85,229,2,0,2,3,Beginner
11.59,605,2,4,2,5,Beginner
86.31,473,1,4,1,4,Intermediate
62.33,310,3,3,1,5,Intermediate
33.09,818,0,3,3,1,Beginner
6.36,840,3,3,2,3,Beginner
31.1,200,1,0,1,1,Beginner
32.52,333,3,0,2,1,Beginner
72.96,475,2,2,1,2,Intermediate
63.76,667,0,3,0,3,Intermediate
88.72,798,1,4,0,1,Intermediate
47.22,98,1,1,2,4,Intermediate
11.96,873,1,2,3,1,Beginner
71.32,88,0,0,1,4,Intermediate
76.08,536,2,2,1,2,Intermediate
56.13,377,1,2,0,1,Beginner
77.1,304,3,2,0,5,Intermediate
49.38,807,1,2,3,2,Intermediate
52.27,756,1,1,3,4,Intermediate
42.75,331,1,3,3,2,Beginner
2.54,499,1,4,2,1,Beginner
10.79,807,2,2,0,3,Beginner
3.14,298,3,2,2,3,Beginner
63.64,436,2,2,0,4,Intermediate
31.44,325,3,3,0,4,Beginner
50.86,418,1,0,1,3,Beginner
90.76,399,0,0,0,4,Intermediate
24.93,448,2,1,0,2,Beginner
41.04,636,0,0,2,5,Beginner
75.56,748,2,2,0,5,Intermediate
22.88,62,1,2,2,2,Beginner
7.7,488,2,2,3,5,Beginner
28.98,201,1,1,0,1,Beginner
16.12,435,2,2,0,2,Beginner
